BBL,Address,Building_Name,Owner,Wikipedia_Link
1013210022,885 2 Ave,One Dag Hammarskjöld Plaza,,https://en.wikipedia.org/wiki/One_Dag_Hammarskj%C3%B6ld_Plaza
1007830070,250 W 34th St,One Manhattan West,Brookfield Properties,https://en.wikipedia.org/wiki/One_Manhattan_West
1009950005,4 Times Square,4 Times Square,Durst Organization,https://en.wikipedia.org/wiki/4_Times_Square
1009930029,1065 Ave Of The Americas,5 Bryant Park,,https://en.wikipedia.org/wiki/5_Bryant_Park
1010130029,5 Times Square,5 Times Square,AVR Realty,https://en.wikipedia.org/wiki/5_Times_Square
1008690066,10 E 40th St,,,https://en.wikipedia.org/wiki/10_East_40th_Street
1000460009,14 Wall St,Bankers Trust Co. Building,Alexander Rovt,https://en.wikipedia.org/wiki/14_Wall_Street
1000090014,17 State St,17 State Street,RFR Realty,https://en.wikipedia.org/wiki/17_State_Street
1000220013,26 Broadway,,Newmark Grubb Knight Frank,https://en.wikipedia.org/wiki/26_Broadway
1013060001,345 Park Ave,,Rudin Management,https://en.wikipedia.org/wiki/345_Park_Avenue
1013070001,375 Park Ave,Seagram Building,RFR Realty,https://en.wikipedia.org/wiki/Seagram_Building
1000400014,48 Wall St,,,https://en.wikipedia.org/wiki/48_Wall_Street
1000220028,52 Broadway,,,https://en.wikipedia.org/wiki/52_Broadway
1000250001,55 Broad St,,Rudin Management,https://en.wikipedia.org/wiki/55_Broad_Street
1000400003,60 Wall St,,Paramount Group,https://en.wikipedia.org/wiki/60_Wall_Street
1012670022,75 Rockefeller Plaza,75 Rockefeller Plaza,RXR Realty,https://en.wikipedia.org/wiki/75_Rockefeller_Plaza
1007390001,111 8 Ave,,,https://en.wikipedia.org/wiki/111_Eighth_Avenue
1000480001,140 Broadway,,,https://en.wikipedia.org/wiki/140_Broadway
1013010001,245 Park Ave,,SL Green Realty,https://en.wikipedia.org/wiki/245_Park_Avenue
1013030001,299 Park Ave,,Fisher Brothers,https://en.wikipedia.org/wiki/299_Park_Avenue
1010320048,330 W 42nd St,,,https://en.wikipedia.org/wiki/330_West_42nd_Street
1012920037,450 Park Ave,,SL Green Realty,https://en.wikipedia.org/wiki/450_Park_Avenue
1008410049,452 5 Ave,HSBC Tower,Property & Building Corp.,https://en.wikipedia.org/wiki/452_Fifth_Avenue
1012750001,461 5 Ave,,SL Green Realty,https://en.wikipedia.org/wiki/461_Fifth_Avenue
1012910010,550 Madison Ave,,Olayan Group,https://en.wikipedia.org/wiki/550_Madison_Avenue
1012670041,650 5 Ave,,Alavi Foundation,https://en.wikipedia.org/wiki/650_Fifth_Avenue
1012710038,712 5 Ave,,Paramount Group,https://en.wikipedia.org/wiki/712_Fifth_Avenue
1010400029,825 8 Ave,One Worldwide Plaza,,https://en.wikipedia.org/wiki/One_Worldwide_Plaza
1013090032,900 3 Ave,,,https://en.wikipedia.org/wiki/Bloomingdale%27s_flagship_store
1013290001,919 3 Ave,,SL Green Realty,https://en.wikipedia.org/wiki/919_Third_Avenue
1010160036,1515 Broadway,One Astor Plaza,SL Green Realty,https://en.wikipedia.org/wiki/One_Astor_Plaza
1010210019,1619 Broadway,Brill Building,,https://en.wikipedia.org/wiki/The_Brill_Building
1010250043,1697 Broadway,Ed Sullivan Theater,,https://en.wikipedia.org/wiki/Ed_Sullivan_Theater
1007870072,256 W 38th St,Candler Building,,https://en.wikipedia.org/wiki/Candler_Building_(New_York_City)
1009990003,1560 Broadway,Paramount Plaza,Paramount Group,https://en.wikipedia.org/wiki/Paramount_Plaza
1008230024,19 W 21st St,Spero Building,,https://en.wikipedia.org/wiki/Spero_Building
1009940001,7 Times Square,Times Square Tower,Boston Properties,https://en.wikipedia.org/wiki/Times_Square_Tower
1000200004,39 Broadway,Trinity Court Building,,https://en.wikipedia.org/wiki/Trinity_Court_Building
1000130001,1 Broadway,,,https://en.wikipedia.org/wiki/1_Broadway
1012870014,488 Madison Ave,,,https://en.wikipedia.org/wiki/488_Madison_Avenue
1012840002,597 5 Ave,Scribner Building,,https://en.wikipedia.org/wiki/Scribner_Building
1001190001,1 Police Plaza,1 Police Plaza,,https://en.wikipedia.org/wiki/1_Police_Plaza
1000290036,1 William St,1 William Street (New York City),,https://en.wikipedia.org/wiki/1_William_Street_(New_York_City)
1010030029,1271 Ave Of The Americas,1271 Avenue of the Americas,,https://en.wikipedia.org/wiki/1271_Avenue_of_the_Americas
1010070029,1345 Ave Of The Americas,1345 Avenue of the Americas,,https://en.wikipedia.org/wiki/1345_Avenue_of_the_Americas
1009960001,1500 Broadway,1500 Broadway,,https://en.wikipedia.org/wiki/1500_Broadway
1010270020,1740 Broadway,1740 Broadway,,https://en.wikipedia.org/wiki/1740_Broadway
1008650014,200 Madison Ave Ave Ave,200 Madison Avenue,,https://en.wikipedia.org/wiki/200_Madison_Avenue
1000160260,200 W St,200 West Street,,https://en.wikipedia.org/wiki/200_West_Street
1001530001,280 Broadway,280 Broadway,,https://en.wikipedia.org/wiki/280_Broadway
1010140033,3 Times Square,3 Times Square,,https://en.wikipedia.org/wiki/3_Times_Square
1006460001,40 10 Ave,40 Tenth Avenue,,https://en.wikipedia.org/wiki/40_Tenth_Avenue
1012830017,400 Madison Ave Ave Ave,400 Madison Avenue,,https://en.wikipedia.org/wiki/400_Madison_Avenue
1012640040,608 5 Ave,608 Fifth Avenue,,https://en.wikipedia.org/wiki/608_Fifth_Avenue
1000210004,65 Broadway,65 Broadway,,https://en.wikipedia.org/wiki/65_Broadway
1012900001,689 5 Ave,689 Fifth Avenue,,https://en.wikipedia.org/wiki/689_Fifth_Avenue
1005540001,770 Broadway,770 Broadway,,https://en.wikipedia.org/wiki/770_Broadway
1010280029,888 7 Ave,888 Seventh Avenue,,https://en.wikipedia.org/wiki/888_Seventh_Avenue
1000210001,61 Broadway,Adams Express Building,,https://en.wikipedia.org/wiki/Adams_Express_Building
1010040020,787 7 Ave,Axa Equitable Center,,https://en.wikipedia.org/wiki/Axa_Equitable_Center
1000130005,11 Broadway,Bowling Green Offices Building,,https://en.wikipedia.org/wiki/Bowling_Green_Offices_Building
1010090005,152 W 57th St,Carnegie Hall Tower,,https://en.wikipedia.org/wiki/Carnegie_Hall_Tower
1012680001,51 W 52nd St,CBS Building,,https://en.wikipedia.org/wiki/CBS_Building
1007130001,75 9 Ave,Chelsea Market,,https://en.wikipedia.org/wiki/Chelsea_Market
1000240029,30 Broad St,Continental Bank Building,,https://en.wikipedia.org/wiki/Continental_Bank_Building
1000130027,25 Broadway,Cunard Building (New York City),,https://en.wikipedia.org/wiki/Cunard_Building_(New_York_City)
1012890021,515 Madison Ave Ave Ave,DuMont Building,,https://en.wikipedia.org/wiki/DuMont_Building
1008070001,393 7 Ave,Equitable Life Building (Manhattan),,https://en.wikipedia.org/wiki/Equitable_Life_Building_(Manhattan)
1013000001,230 Park Ave,Helmsley Building,,https://en.wikipedia.org/wiki/Helmsley_Building
1000670001,59 Maiden Lane,Home Insurance Plaza,,https://en.wikipedia.org/wiki/Home_Insurance_Plaza
1001210001,1 Centre St,Manhattan Municipal Building,,https://en.wikipedia.org/wiki/Manhattan_Municipal_Building
1007840041,450 7 Ave,Nelson Tower,,https://en.wikipedia.org/wiki/Nelson_Tower
1012910028,65 E 55th St,Park Avenue Tower,,https://en.wikipedia.org/wiki/Park_Avenue_Tower
1004980009,557 Broadway,Scholastic Building,,https://en.wikipedia.org/wiki/Scholastic_Building
1000220024,50 Broadway,Tower Building (New York City),,https://en.wikipedia.org/wiki/Tower_Building_(New_York_City)
1000880018,225 Broadway,Transportation Building (Manhattan),,https://en.wikipedia.org/wiki/Transportation_Building_(Manhattan)
1000490002,111 Broadway,Trinity and United States Realty Buildings,,https://en.wikipedia.org/wiki/Trinity_and_United_States_Realty_Buildings